tag,count,Price,Percent_change_1h,Market_cap_usd,Time
#eos,4,13.796699523925781,0.4000000059604645,12363906048.0,00:09
#stellar,2,0.295289009809494,1.0399999618530273,5486395392.0,00:09
#litecoin,2,120.23100280761719,0.47999998927116394,6833217536.0,00:09
#bitcoin,53,7553.830078125,0.30000001192092896,128982589440.0,00:10
#ethereum,14,597.47998046875,0.15000000596046448,59670806528.0,00:10
#tron,9,0.05967170000076294,0.8199999928474426,3923301632.0,00:10
#ripple,4,0.6700419783592224,0.3199999928474426,26293471232.0,00:10
#eos,3,13.770299911499023,0.17000000178813934,12340247552.0,00:10
#iota,3,1.73294997215271,-0.1599999964237213,4816786944.0,00:10
#stellar,1,0.29513999819755554,0.9200000166893005,5483627008.0,00:10
#litecoin,1,119.89900207519531,0.12999999523162842,6814348288.0,00:10
#bitcoin,59,7553.830078125,0.30000001192092896,128982589440.0,00:11
#ethereum,18,597.47998046875,0.15000000596046448,59670806528.0,00:11
#tron,15,0.05967170000076294,0.8199999928474426,3923301632.0,00:11
#eos,4,13.770299911499023,0.17000000178813934,12340247552.0,00:11
#ripple,3,0.6700419783592224,0.3199999928474426,26293471232.0,00:11
#iota,3,1.73294997215271,-0.1599999964237213,4816786944.0,00:11
#litecoin,2,119.89900207519531,0.12999999523162842,6814348288.0,00:11
#stellar,1,0.29513999819755554,0.9200000166893005,5483627008.0,00:11
#bitcoin,57,7553.830078125,0.30000001192092896,128982589440.0,00:12
#ethereum,19,597.47998046875,0.15000000596046448,59670806528.0,00:12
#tron,12,0.05967170000076294,0.8199999928474426,3923301632.0,00:12
#eos,4,13.770299911499023,0.17000000178813934,12340247552.0,00:12
#ripple,4,0.6700419783592224,0.3199999928474426,26293471232.0,00:12
#iota,3,1.73294997215271,-0.1599999964237213,4816786944.0,00:12
#litecoin,2,119.89900207519531,0.12999999523162842,6814348288.0,00:12
#stellar,1,0.29513999819755554,0.9200000166893005,5483627008.0,00:12
#bitcoin,52,7553.830078125,0.30000001192092896,128982589440.0,00:13
#ethereum,15,597.47998046875,0.15000000596046448,59670806528.0,00:13
#tron,8,0.05967170000076294,0.8199999928474426,3923301632.0,00:13
#eos,3,13.770299911499023,0.17000000178813934,12340247552.0,00:13
#ripple,2,0.6700419783592224,0.3199999928474426,26293471232.0,00:13
#iota,2,1.73294997215271,-0.1599999964237213,4816786944.0,00:13
#bitcoin,55,7553.830078125,0.30000001192092896,128982589440.0,00:14
#ethereum,11,597.47998046875,0.15000000596046448,59670806528.0,00:14
#tron,9,0.05967170000076294,0.8199999928474426,3923301632.0,00:14
#eos,6,13.770299911499023,0.17000000178813934,12340247552.0,00:14
#ripple,2,0.6700419783592224,0.3199999928474426,26293471232.0,00:14
#iota,2,1.73294997215271,-0.1599999964237213,4816786944.0,00:14
#cardano,1,0.21668800711631775,0.3799999952316284,5618084864.0,00:14
#stellar,1,0.29513999819755554,0.9200000166893005,5483627008.0,00:14
#litecoin,1,119.89900207519531,0.12999999523162842,6814348288.0,00:14
#bitcoin,60,7545.7099609375,0.1599999964237213,128843939840.0,00:15
#ethereum,12,596.77197265625,-0.07000000029802322,59600097280.0,00:15
#tron,9,0.059455398470163345,0.3799999952316284,3909080320.0,00:15
#eos,7,13.69279956817627,-0.4300000071525574,12270795776.0,00:15
#iota,5,1.7331700325012207,-0.23000000417232513,4817398272.0,00:15
#ripple,4,0.6670669913291931,-0.25,26176727040.0,00:15
#stellar,2,0.2942520081996918,0.5299999713897705,5467128320.0,00:15
#cardano,1,0.2159769982099533,-0.009999999776482582,5599650816.0,00:15
#litecoin,1,119.83200073242188,0.029999999329447746,6810540544.0,00:15
#bitcoin,56,7545.7099609375,0.1599999964237213,128843939840.0,00:16
#ethereum,16,596.77197265625,-0.07000000029802322,59600097280.0,00:16
#tron,10,0.059455398470163345,0.3799999952316284,3909080320.0,00:16
#iota,6,1.7331700325012207,-0.23000000417232513,4817398272.0,00:16
#ripple,5,0.6670669913291931,-0.25,26176727040.0,00:16
#eos,2,13.69279956817627,-0.4300000071525574,12270795776.0,00:16
#stellar,1,0.2942520081996918,0.5299999713897705,5467128320.0,00:16
#litecoin,1,119.83200073242188,0.029999999329447746,6810540544.0,00:16
#bitcoin,45,7545.7099609375,0.1599999964237213,128843939840.0,00:17
#ethereum,15,596.77197265625,-0.07000000029802322,59600097280.0,00:17
#tron,14,0.059455398470163345,0.3799999952316284,3909080320.0,00:17
#ripple,7,0.6670669913291931,-0.25,26176727040.0,00:17
#eos,2,13.69279956817627,-0.4300000071525574,12270795776.0,00:17
#iota,2,1.7331700325012207,-0.23000000417232513,4817398272.0,00:17
#litecoin,1,119.83200073242188,0.029999999329447746,6810540544.0,00:17
#bitcoin,44,7545.7099609375,0.1599999964237213,128843939840.0,00:19
#tron,17,0.059455398470163345,0.3799999952316284,3909080320.0,00:19
#ripple,13,0.6670669913291931,-0.25,26176727040.0,00:19
#ethereum,13,596.77197265625,-0.07000000029802322,59600097280.0,00:19
#eos,3,13.69279956817627,-0.4300000071525574,12270795776.0,00:19
#bitcoin,45,7534.64013671875,-0.07999999821186066,128655671296.0,00:20
#ethereum,16,595.9450073242188,-0.23000000417232513,59517681664.0,00:20
#tron,15,0.05946379899978638,0.3100000023841858,3909632512.0,00:20
#ripple,9,0.6661909818649292,-0.6700000166893005,26142351360.0,00:20
#cardano,2,0.21545299887657166,-0.25999999046325684,5586064896.0,00:20
#litecoin,2,119.802001953125,-0.05000000074505806,6808853504.0,00:20
#eos,1,13.659199714660645,-0.6899999976158142,12240685056.0,00:20
#stellar,1,0.2946540117263794,0.41999998688697815,5474599936.0,00:20
#iota,1,1.7295299768447876,-0.5,4807281152.0,00:20
#bitcoin,44,7534.64013671875,-0.07999999821186066,128655671296.0,00:21
#ethereum,23,595.9450073242188,-0.23000000417232513,59517681664.0,00:21
#tron,10,0.05946379899978638,0.3100000023841858,3909632512.0,00:21
#ripple,7,0.6661909818649292,-0.6700000166893005,26142351360.0,00:21
#litecoin,4,119.802001953125,-0.05000000074505806,6808853504.0,00:21
#cardano,3,0.21545299887657166,-0.25999999046325684,5586064896.0,00:21
#iota,3,1.7295299768447876,-0.5,4807281152.0,00:21
#eos,2,13.659199714660645,-0.6899999976158142,12240685056.0,00:21
#stellar,1,0.2946540117263794,0.41999998688697815,5474599936.0,00:21
#bitcoin,40,7534.64013671875,-0.07999999821186066,128655671296.0,00:22
#ethereum,22,595.9450073242188,-0.23000000417232513,59517681664.0,00:22
#tron,16,0.05946379899978638,0.3100000023841858,3909632512.0,00:22
#ripple,7,0.6661909818649292,-0.6700000166893005,26142351360.0,00:22
#eos,2,13.659199714660645,-0.6899999976158142,12240685056.0,00:22
#iota,2,1.7295299768447876,-0.5,4807281152.0,00:22
#litecoin,2,119.802001953125,-0.05000000074505806,6808853504.0,00:22
#cardano,1,0.21545299887657166,-0.25999999046325684,5586064896.0,00:22
#stellar,1,0.2946540117263794,0.41999998688697815,5474599936.0,00:22
